"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Li B.; Song C.; Bai S.; Huang J.; Ma R.; Wan K.; Neretin E.","Li, Bo (57221075727); Song, Chao (59037823600); Bai, Shuangxia (57561854300); Huang, Jingyi (57735602000); Ma, Rui (58127283000); Wan, Kaifang (45162177100); Neretin, Evgeny (57211960161)","57221075727; 59037823600; 57561854300; 57735602000; 58127283000; 45162177100; 57211960161","Multi-UAV Trajectory Planning during Cooperative Tracking Based on a Fusion Algorithm Integrating MPC and Standoff","2023","Drones","7","3","196","","","","18","10.3390/drones7030196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152000017&doi=10.3390%2fdrones7030196&partnerID=40&md5=135b113d25def83c9efad1ae8c0f4fcb","School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Xi’an Electronic Engineering Research Institute, Xi’an, 710100, China; School of Robotic and Intelligent Systems, Moscow Aviation Institute, Moscow, 125993, Russian Federation","Li B., School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Song C., School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Bai S., School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Huang J., School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Ma R., Xi’an Electronic Engineering Research Institute, Xi’an, 710100, China; Wan K., School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; Neretin E., School of Robotic and Intelligent Systems, Moscow Aviation Institute, Moscow, 125993, Russian Federation","In this paper, an intelligent algorithm integrating model predictive control and Standoff algorithm is proposed to solve trajectory planning that UAVs may face while tracking a moving target cooperatively in a complex three-dimensional environment. A fusion model using model predictive control and Standoff algorithm is thus constructed to ensure trajectory planning and formation maintenance, maximizing UAV sensors’ detection range while minimizing target loss probability. Meanwhile, with this model, a fully connected communication topology is used to complete the UAV communication, multi-UAV formation can be reconfigured and planned at the minimum cost, keeping off deficiency in avoiding real-time obstacles facing the Standoff algorithm. Simulation validation suggests that the fusion algorithm proves to be more capable of maintaining UAVs in stable formation and detecting the target, compared with the model predictive control algorithm alone, in the process of tracking the moving target in a complex 3D environment. © 2023 by the authors.","formation tracking control; intelligent computing; model predictive control; standoff algorithm; UAV trajectory planning","Aircraft detection; Digital elevation model; Unmanned aerial vehicles (UAV); Formation tracking; Formation tracking control; Fusion algorithms; Model-predictive control; Moving targets; Multi UAV; Standoff algorithm; Tracking controls; Trajectory Planning; UAV trajectory planning; Predictive control systems","B. Li; School of Electronics and Information, Northwestern Polytechnical University, Xi’an, 710072, China; email: libo803@nwpu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","2504446X","","","","English","Drones","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85152000017"
"Cheng J.; Zheng Y.; Li C.; Jiang B.","Cheng, Jie (58862190200); Zheng, Yuan (58001306000); Li, Chenglong (56949698900); Jiang, Bo (36671280300)","58862190200; 58001306000; 56949698900; 36671280300","Multi-UAV Collaborative Trajectory Planning Algorithm for Urban Ultra-low-altitude Air Transportation Scenario; [面向超低空物流场景的多机协同航迹规划算法]","2023","Xitong Fangzhen Xuebao / Journal of System Simulation","36","1","","50","66","16","0","10.16182/j.issn1004731x.joss.22-1028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183961325&doi=10.16182%2fj.issn1004731x.joss.22-1028&partnerID=40&md5=e4fc149b6cd7c0e1ec6b4fb007777d73","College of Air Traffic Management, Civil Aviation Flight University of China, Guanghan, 618307, China; College of Computer Science and Technology, Civil Aviation Flight University of China, Guanghan, 618307, China; School of Electronic Information Engineering, Beihang University, Beijing, 100191, China","Cheng J., College of Air Traffic Management, Civil Aviation Flight University of China, Guanghan, 618307, China; Zheng Y., College of Computer Science and Technology, Civil Aviation Flight University of China, Guanghan, 618307, China; Li C., College of Air Traffic Management, Civil Aviation Flight University of China, Guanghan, 618307, China, School of Electronic Information Engineering, Beihang University, Beijing, 100191, China; Jiang B., College of Air Traffic Management, Civil Aviation Flight University of China, Guanghan, 618307, China","The rapid development of the drone industry has promoted the opening of low-altitude, forming a wave of ultra-low-altitude air transportation in cities sweeping over the world. However, the existing trajectory planning algorithms do not consider the division method and operating rules of the ultra-low-altitude airspace. They are not suitable for the collaborative trajectory planning of multiple UAVs in the urban ultra-low-altitude air transportation scenario, which may restrict the development of the ultra-low-altitude air transportation industry. This paper explores a multi-UAV collaborative trajectory planning method for urban ultra-low-altitude air transportation scenario based on the airspace flight altitude layer architecture. Specifically, the paper decomposes the original problem into two coupled sub-problems: UAV flight altitude layer task assignment and multi-UAV single-altitude coordinated trajectory planning. It uses the task assignment solution based on mapping knowledge domains and the swarm-based improved artificial potential field method to solve these two sub-problems respectively. Simulation results show that the method can not only avoid the inherent defects of traditional methods in solving the cooperative trajectory planning sub-problem but also reduce the average number of iterations by 62.09% compared with the traditional method. At the same time, the simulation results also show that the proposed method solves the original problem fast and robustly, which can provide a feasible trajectory for multi-UAVs in urban ultra-low-altitude air transportation scenario. © 2023 Acta Simulata Systematica Sinica. All rights reserved.","artificial potential field; mapping knowledge domains; multi-UAVs; particle swarm algorithm; task assignment; trajectory planning","","Y. Zheng; College of Computer Science and Technology, Civil Aviation Flight University of China, Guanghan, 618307, China; email: ranchozy@cafuc.edu.cn","","Acta Simulata Systematica Sinica","1004731X","","XFXUF","","Chinese","Xitong Fangzhen Xuebao","Article","Final","","Scopus","2-s2.0-85183961325"
"Guo Y.; Liu X.; Jiang W.; Zhang W.","Guo, Yicong (57215206066); Liu, Xiaoxiong (27168400500); Jiang, Wei (57211348439); Zhang, Weiguo (35180743200)","57215206066; 27168400500; 57211348439; 35180743200","Collision-Free 4D Dynamic Path Planning for Multiple UAVs Based on Dynamic Priority RRT* and Artificial Potential Field","2023","Drones","7","3","180","","","","9","10.3390/drones7030180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151529227&doi=10.3390%2fdrones7030180&partnerID=40&md5=e66263a165f0243560aaa126051161a4","School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China; Shaanxi Province Key Laboratory of Flight Control and Simulation Technology, Xi’an, 710129, China","Guo Y., School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China; Liu X., School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China, Shaanxi Province Key Laboratory of Flight Control and Simulation Technology, Xi’an, 710129, China; Jiang W., School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China; Zhang W., School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China, Shaanxi Province Key Laboratory of Flight Control and Simulation Technology, Xi’an, 710129, China","In this paper, a four-dimensional (4D) dynamic cooperative path planning algorithm for multiple unmanned aerial vehicles (UAVs) is proposed, in which the cooperative time variables of UAVs, as well as conflict and threat avoidance, are considered. The algorithm proposed in this paper uses a hierarchical framework that is divided into a 4D cooperative planning layer and a local threat avoidance planning layer. In the cooperative planning layer, the proposed algorithm, named dynamic priority rapidly exploring random trees (DPRRT*), would be used for the 4D cooperative path planning of all UAVs involved in a given task. We first designed a heuristic prioritization strategy in the DPRRT* algorithm to rank all UAVs to improve the efficiency of cooperative planning. Then, the improved RRT* algorithm with the 4D coordination cost function was used to plan the 4D coordination path for each UAV. Whenever the environment changes dynamically (i.e., sudden static or moving threats), the proposed heuristic artificial potential field algorithm (HAPF) in the local threat avoidance planning layer is used to plan the local collision avoidance path. After completing local obstacle avoidance planning, the DPRRT* of the 4D cooperative planning layer is again called upon for path replanning to finally realize 4D cooperative path planning for all UAVs. The simulation and comparison experiments prove the feasibility, efficiency, and robustness of the proposed algorithm. © 2023 by the authors.","artificial potential field (APF); four-dimensional (4D) dynamic cooperative path planning; multiple unmanned aerial vehicles (multi-UAVs); rapidly exploring random trees (RRT*)","Aircraft accidents; Decision trees; Dynamic programming; Heuristic algorithms; Motion planning; Unmanned aerial vehicles (UAV); Aerial vehicle; Artificial potential field; Artificial potential fields; Cooperative path planning; Dimensional dynamics; Dynamic priority; Four-dimensional  dynamic cooperative path planning; Multiple unmanned aerial vehicle; Rapidly exploring random tree; Rapidly-exploring random trees; Cost functions","X. Liu; School of Automation, Northwestern Polytechnical University, Xi’an, 710129, China; email: liuxiaoxiong@nwpu.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","2504446X","","","","English","Drones","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151529227"
"Liu Y.; Xia Y.; Shi J.; Chen C.; Huang J.","Liu, Yao (57204710364); Xia, Yangsheng (57210391628); Shi, Jianmai (36139107000); Chen, Chao (56216254300); Huang, Jincai (9337816300)","57204710364; 57210391628; 36139107000; 56216254300; 9337816300","Path planning method for multi-area coverage by cooperated ground vehicle multi-drone; [车载多无人机协同多区域覆盖路径规划方法]","2023","Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics","45","5","","1380","1390","10","0","10.12305/j.issn.1001-506X.2023.05.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164207497&doi=10.12305%2fj.issn.1001-506X.2023.05.14&partnerID=40&md5=acb9e296342ac85d9ca9459f344d2f06","College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China","Liu Y., College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China; Xia Y., College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China; Shi J., College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China; Chen C., College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China; Huang J., College of Systems Engineering, National University of Defense Technology, Changsha, 410073, China","Aiming at the advantages of drones in regional information collection, and considering complex application scenarios, a cooperative mode with a ground vehicle (GV) and multi-drone is proposed for multiple large area coverage. In this mode, the GV can be used as the mobile base station of the drones to cooperate with multi-drone to complete coverage scanning tasks in multiple large areas. After fully analyzing the characteristics of the new problem, a 0-1 integer programming model to optimize the GV travel path and the multi-drone cooperative air flight path is established, and a three-stage intelligent optimization algorithm is proposed. The regional coverage path of multi-drone and the GV cooperative path are planned successively to quickly construct feasible solutions, and then the feasible solutions are optimized based on the adaptive large scale domain search algorithm. An actual case involving"" eight target regions is designed to verify the advantages of the GV multi-drone cooperation mode and the effectiveness of the proposed algorithm, and the algorithm performance is further verified through 10 random cases. The comparative experiment proves that the GV multi-drone cooperative mode can significantly shorten the task time compared with the GV single drone mode in performing"" multiple large area coverage tasks. © 2023 Chinese Institute of Electronics. All rights reserved.","area coverage; heuristic algorithm; multi-drone cooperation; path planning","Drones; Integer programming; Motion planning; Application scenario; Area coverages; Complex applications; Feasible solution; Heuristics algorithm; Information collections; Multi areas; Multi-drone cooperation; Path planning method; Regional information; Heuristic algorithms","","","Chinese Institute of Electronics","1001506X","","XGYDE","","Chinese","Xi Tong Cheng Yu Dian Zi Ji Shu/Syst Eng Electron","Article","Final","","Scopus","2-s2.0-85164207497"
"Cheng Y.; Li Y.; Wang Y.; Cheng W.","Cheng, Yufeng (55295371500); Li, Yong (27171385000); Wang, Yongkun (59157961600); Cheng, Wei (55898598400)","55295371500; 27171385000; 59157961600; 55898598400","Cooperative Path Planning Method for Unmanned Aerial Vehicle Formation Using Adaptive Primal-Dual Iteration; [采用自适应原始对偶迭代的无人机编队协同航路规划方法]","2023","Hsi-An Chiao Tung Ta Hsueh/Journal of Xi'an Jiaotong University","57","3","","183","192","9","0","10.7652/xjtuxb202303017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160914989&doi=10.7652%2fxjtuxb202303017&partnerID=40&md5=99edb677c99d875ae5d6c018b944a107","School of Electronic Information, Northwestern Polytechnical University, Xi'an, 710072, China; AVIC LEIHUA Electronic Technology Institute, Jiangsu, Wuxi, 214063, China","Cheng Y., School of Electronic Information, Northwestern Polytechnical University, Xi'an, 710072, China; Li Y., School of Electronic Information, Northwestern Polytechnical University, Xi'an, 710072, China; Wang Y., AVIC LEIHUA Electronic Technology Institute, Jiangsu, Wuxi, 214063, China; Cheng W., School of Electronic Information, Northwestern Polytechnical University, Xi'an, 710072, China","A cooperative path planning method for unmanned aerial vehicle (UAV) formation is proposed to address the unstable radar tracking after the target maneuvers into the blind zone of UAV radar detection. Firstly, multiple constraints are constituted based on the blind zone of Dopplcr velocity, radar detection angle and range boundary, and so on. Then, an objective function is established for the purpose of steady tracking of maneuvering targets. The mathematical model of the cooperative path planning problem is established by the objective function and constraints. Finally, the mathematical model is quickly solved by the proposed adaptive primal-dual iterative (APDI) algorithm to obtain flight paths of UAVs in real time. Comparative simulation results show that the proposed method can realize fast cooperative path planning for a continuous and steady tracking of maneuvering targets. The APDI is a low complexity algorithm and has a higher solving speed with a 10% improvement in comparison with Gauss pseudospectral method and model predictive control method. Moreover, the UAV path solved by the proposed method is smooth, which can reduce the fuel consumption of UAV in flight, allowing for longer detection in the air. © 2023 Xi'an Jiaotong University. All rights reserved.","Dopplcr velocity; maneuvering target; path planning; radar tracking; unmanned aerial vehicle formation","Antennas; Computational complexity; Iterative methods; Maneuverability; Model predictive control; Motion planning; Tracking radar; Unmanned aerial vehicles (UAV); Aerial vehicle; Blind zones; Cooperative path planning; Dopplcr velocity; Manoeuvring target; Path planning method; Primal-dual; Radar detection; Unmanned aerial vehicle formation; Vehicle formations; Aircraft detection","","","Xi'an Jiaotong University","0253987X","","HCTPD","","Chinese","Hsi An Chiao Tung Ta Hsueh","Article","Final","","Scopus","2-s2.0-85160914989"
"Huang J.; Li B.; Song C.; Evgeny N.","Huang, Jingyi (57735602000); Li, Bo (57221075727); Song, Chao (59037823600); Evgeny, Neretin (57211960161)","57735602000; 57221075727; 59037823600; 57211960161","Multi UAV Cooperative Reconnaissance Based on Dynamic Programming IDQN Algorithm","2023","ICCSI 2023 - 2023 International Conference on Cyber-Physical Social Intelligence","","","","227","232","5","1","10.1109/ICCSI58851.2023.10303890","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179001666&doi=10.1109%2fICCSI58851.2023.10303890&partnerID=40&md5=69e95be1911a9beef9f19d3b9ec1adbc","Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; Moscow Aviation Institute Moscow Aviation Institute, Moscow, Russian Federation","Huang J., Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; Li B., Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; Song C., Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; Evgeny N., Moscow Aviation Institute Moscow Aviation Institute, Moscow, Russian Federation","In this paper, multiple UAV cooperative reconnaissance tasks in complex environments are realized based on deep reinforcement learning. With the goal of quickly completing reconnaissance task allocation, safely avoiding obstacles and finally completing flight tasks, task allocation and trajectory planning are tightly coupled, and a multiple UAV cooperative reconnaissance algorithm based on dynamic programming multi-agent independent deep Q networks (IDQN) is proposed, Implemented collaborative reconnaissance task allocation and trajectory planning flight decision-making for multiple unmanned aerial vehicles in complex environments, and completed collaborative reconnaissance tasks for multiple unmanned aerial vehicles.  © 2023 IEEE.","dynamic programming; IDQN algorithm; reinforcement learning; UAV collaborative reconnaissance","Antennas; Complex networks; Decision making; Deep learning; Multi agent systems; Reinforcement learning; Unmanned aerial vehicles (UAV); Aerial vehicle; Complex environments; Independent deep Q network algorithm; Multiple UAVs; Network algorithms; ON dynamics; Reinforcement learnings; Task allocation; Trajectory Planning; UAV collaborative reconnaissance; Dynamic programming","J. Huang; Northwestern Polytechnical University, School of Electronics and Information, Xi'an, China; email: hjy803@mail.nwpu.edu.cn","","Institute of Electrical and Electronics Engineers Inc.","","979-835031249-2","","","English","ICCSI - Int. Conf. Cyber-Phys. Soc. Intell.","Conference paper","Final","","Scopus","2-s2.0-85179001666"
"Bai Y.; Zhao H.; Zhang X.; Chang Z.; Jantti R.; Yang K.","Bai, Yu (57225866738); Zhao, Hui (55523102593); Zhang, Xin (57774749700); Chang, Zheng (49862878900); Jantti, Riku (56186204500); Yang, Kun (35214178400)","57225866738; 55523102593; 57774749700; 49862878900; 56186204500; 35214178400","Toward Autonomous Multi-UAV Wireless Network: A Survey of Reinforcement Learning-Based Approaches","2023","IEEE Communications Surveys and Tutorials","25","4","","3038","3067","29","58","10.1109/COMST.2023.3323344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174839213&doi=10.1109%2fCOMST.2023.3323344&partnerID=40&md5=276b0007ff88c6534146ea873c4a2359","University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China; Aalto University, Department of Information and Communications Engineering, Espoo, 02150, Finland; University of Jyväskylä, Faculty of Information Technology, Jyväskylä, 40014, Finland; University of Essex, School of Computer Sciences and Electrical Engineering, Colchester, CO4 3SQ, United Kingdom","Bai Y., University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China, Aalto University, Department of Information and Communications Engineering, Espoo, 02150, Finland; Zhao H., University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China; Zhang X., University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China; Chang Z., University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China, University of Jyväskylä, Faculty of Information Technology, Jyväskylä, 40014, Finland; Jantti R., Aalto University, Department of Information and Communications Engineering, Espoo, 02150, Finland; Yang K., University of Essex, School of Computer Sciences and Electrical Engineering, Colchester, CO4 3SQ, United Kingdom","Unmanned aerial vehicle (UAV)-based wireless networks have received increasing research interest in recent years and are gradually being utilized in various aspects of our society. The growing complexity of UAV applications such as disaster management, plant protection, and environment monitoring, has resulted in escalating and stringent requirements for UAV networks that a single UAV cannot fulfill. To address this, multi-UAV wireless networks (MUWNs) have emerged, offering enhanced resource-carrying capacity and enabling collaborative mission completion by multiple UAVs. However, the effective operation of MUWNs necessitates a higher level of autonomy and intelligence, particularly in decision-making and multi-objective optimization under diverse environmental conditions. Reinforcement Learning (RL), an intelligent and goal-oriented decision-making approach, has emerged as a promising solution for addressing the intricate tasks associated with MUWNs. As one may notice, the literature still lacks a comprehensive survey of recent advancements in RL-based MUWNs. Thus, this paper aims to bridge this gap by providing a comprehensive review of RL-based approaches in the context of autonomous MUWNs. We present an informative overview of RL and demonstrate its application within the framework of MUWNs. Specifically, we summarize various applications of RL in MUWNs, including data access, sensing and collection, resource allocation for wireless connectivity, UAV-assisted mobile edge computing, localization, trajectory planning, and network security. Furthermore, we identify and discuss several open challenges based on the insights gained from our review.  © ; 2023 IEEE.","multi-UAV wireless network; reinforcement learning; UAV-assisted communication network; UAV-assisted mobile computing; Unmanned aerial vehicle (UAV)","Antennas; Decision making; Disaster prevention; Disasters; Mobile computing; Mobile edge computing; Multiobjective optimization; Network security; Reinforcement learning; Unmanned aerial vehicles (UAV); Wireless networks; Aerial vehicle; Communications networks; Heuristics algorithm; Mobile-computing; Multi-unmanned aerial vehicle wireless network; Optimisations; Reinforcement learnings; Resource management; Tutorial; Unmanned aerial vehicle; Unmanned aerial vehicle-assisted communication network; Unmanned aerial vehicle-assisted mobile computing; Heuristic algorithms","Z. Chang; University of Electronic Science and Technology of China, School of Computer Science and Engineering, Chengdu, 611731, China; email: zheng.chang@jyu.fi","","Institute of Electrical and Electronics Engineers Inc.","1553877X","","","","English","IEEE Commun. Surv. Tutor.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85174839213"
"Yang J.; Yang Y.; Xu H.; Hu J.; Song T.","Yang, Jingce (57920169600); Yang, Yulu (58624196800); Xu, Han (58010023800); Hu, Jing (57161215800); Song, Tiecheng (9733714200)","57920169600; 58624196800; 58010023800; 57161215800; 9733714200","Unmanned Aerial Vehicle Trajectory Design in Wireless Sensor Networks: A Deep Reinforcement Learning Method","2023","Proceedings of SPIE - The International Society for Optical Engineering","12719","","1271929","","","","0","10.1117/12.2685727","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172736834&doi=10.1117%2f12.2685727&partnerID=40&md5=66b14c7708b204060da9d4544faf967f","National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China","Yang J., National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China; Yang Y., National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China; Xu H., National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China; Hu J., National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China; Song T., National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China","Unmanned Aerial Vehicle (UAV)-powered Wireless Sensor Networks (WSNs) are considered to be a promising solution to the problem of the limited power of the Sensor Nodes (SNs). In this paper, we introduce a UAV-powered WSN system, where multi-UAVs undertake the role of remote charging stations. To optimize the overall power efficiency, we design the collaborative trajectories of the UAVs. In order to solve the problem of trajectory planning, we first model the service process as a Markov decision process (MDP), and then propose a Multi-Agent Deep Reinforcement Learning (MADRL) based algorithm named Modified Multi-agent Deep Deterministic Policy Gradient (M2DDPG), which is learned centrally and executed discretely. The simulation has demonstrated the validity, efficacy, and superior performance of the proposed M2DDPG algorithm compared to the baseline algorithm. © 2023 SPIE.","Multi-Agent Deep Reinforcement Learning (MADRL); Remote charging; Trajectory optimization; UAV; Wireless Sensor Networks (WSNs)","Antennas; Charging (batteries); Deep learning; Learning algorithms; Learning systems; Markov processes; Multi agent systems; Sensor nodes; Trajectories; Unmanned aerial vehicles (UAV); Aerial vehicle; Multi agent; Multi-agent deep reinforcement learning; Reinforcement learnings; Remote charging; Trajectory designs; Trajectory optimization; Unmanned aerial vehicle; Vehicle trajectories; Wireless sensor network; Reinforcement learning","T. Song; National Mobile Communications Research Laboratory, Southeast University, Nanjing, 210096, China; email: songtc@seu.edu.cn","Xiao W.; Leng L.","SPIE","0277786X","978-151066661-0","PSISD","","English","Proc SPIE Int Soc Opt Eng","Conference paper","Final","","Scopus","2-s2.0-85172736834"
"Zhang Y.; Yu J.; Tang Y.; Deng Y.; Tian X.; Yue Y.; Yang Y.","Zhang, Yuxiao (58771218800); Yu, Jing (57761478600); Tang, Yujie (58764176700); Deng, Yinan (58066086300); Tian, Xinyu (58770972100); Yue, Yufeng (57193681003); Yang, Yi (56338006700)","58771218800; 57761478600; 58764176700; 58066086300; 58770972100; 57193681003; 56338006700","GACF: Ground-Aerial Collaborative Framework for Large-Scale Emergency Rescue Scenarios","2023","Proceedings of 2023 IEEE International Conference on Unmanned Systems, ICUS 2023","","","","1701","1707","6","1","10.1109/ICUS58632.2023.10318246","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180132509&doi=10.1109%2fICUS58632.2023.10318246&partnerID=40&md5=b861b803bce111b46e4c1613721f08db","School of Automation, Beijing Institute of Technology, Beijing, China","Zhang Y., School of Automation, Beijing Institute of Technology, Beijing, China; Yu J., School of Automation, Beijing Institute of Technology, Beijing, China; Tang Y., School of Automation, Beijing Institute of Technology, Beijing, China; Deng Y., School of Automation, Beijing Institute of Technology, Beijing, China; Tian X., School of Automation, Beijing Institute of Technology, Beijing, China; Yue Y., School of Automation, Beijing Institute of Technology, Beijing, China; Yang Y., School of Automation, Beijing Institute of Technology, Beijing, China","Large-scale emergency rescue tasks require search and rescue units to conduct autonomous exploration and to be able to respond quickly in complex and dangerous environments. This paper proposes a ground-aerial collaborative framework for search and rescue scenarios. The heterogeneous collaborative system is composed of a single unmanned aerial vehicle(UAV) and a single unmanned ground vehicle(UGV). The UAV is responsible for providing a global topological map of the airspace perspective and performing path planning, and the UGV is responsible for local obstacle avoidance. Collaborative exploration has improved the autonomous exploration capabilities of unmanned systems in large-scale emergency rescue scenarios. This paper proposes a road network extraction and topology construction algorithm based on a airspace perspective image, providing a global traversable map. A path planning algorithm based on the global topological map of airspace is proposed, which improves the efficiency of UGV's exploratory progress. In the real scene experiment, compared with the single UGV with a priori map, the time consumption of GACF is reduced by 59%, which greatly improves the exploration efficiency of the unmanned system in practical applications. © 2023 IEEE.","heterogeneous collaborative system; path planning; road extraction; topology map construction","Antennas; Efficiency; Extraction; Highway planning; Intelligent vehicle highway systems; Roads and streets; Topology; Unmanned aerial vehicles (UAV); Collaborative framework; Collaborative systems; Emergency rescue; Heterogeneous collaborative system; Large-scale emergency; Map constructions; Road extraction; Search and rescue; Topology map construction; Topology maps; Motion planning","Y. Yue; School of Automation, Beijing Institute of Technology, Beijing, China; email: yueyufeng@bit.edu.cn","Song R.","Institute of Electrical and Electronics Engineers Inc.","","979-835031630-8","","","English","Proc. IEEE Int. Conf. Unmanned Syst., ICUS","Conference paper","Final","","Scopus","2-s2.0-85180132509"
"Dongqi L.; Lu Y.; Fei H.; Yingjie Y.; Li L.","Dongqi, Li (58650560800); Lu, Yang (58650560900); Fei, He (58650792400); Yingjie, Yan (56198196700); Li, Li (58298548100)","58650560800; 58650560900; 58650792400; 56198196700; 58298548100","Automatic Generation Method for High Quality Joint Inspection Points of Intelligent Equipment in Substations","2023","Proceedings - 2023 3rd Power System and Green Energy Conference, PSGEC 2023","","","","1135","1139","4","0","10.1109/PSGEC58411.2023.10255838","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174260900&doi=10.1109%2fPSGEC58411.2023.10255838&partnerID=40&md5=0e1efa6bf4c1bd91e78acf20cd1cf7ba","Beijing Chuangtuo International Standard Technology Research Institute Co. Ltd, Beijing, China; School of Electrical Engineering, Shanghai Jiaotong University, Shanghai, China; State Grid Intelligent Technology Co. Ltd, Beijing, China","Dongqi L., Beijing Chuangtuo International Standard Technology Research Institute Co. Ltd, Beijing, China; Lu Y., Beijing Chuangtuo International Standard Technology Research Institute Co. Ltd, Beijing, China; Fei H., Beijing Chuangtuo International Standard Technology Research Institute Co. Ltd, Beijing, China; Yingjie Y., School of Electrical Engineering, Shanghai Jiaotong University, Shanghai, China; Li L., State Grid Intelligent Technology Co. Ltd, Beijing, China","The challenges of autonomous and joint inspection of intelligent equipment, such as Unmanned Aerial Vehicles (UAVs) and robots, in substations are constantly gaining attention. To efficiently capture high-quality images of power equipment, we propose a method for automatically generating joint inspection points for multiple intelligent equipment. It introduces a shooting potential model and a spatial relationship model to assess the suitability of shooting power equipment at different spatial points using various intelligent equipment. A point selection method is designed based on shooting quality constraints and spatial constraints to optimize inspection efficiency. The focus is on generating non-redundant and complete inspection points that are suitable for multiple intelligent equipment to perform with. Additionally, we study cooperative path planning of the heterogeneous robot systems to reduce the time required for the inspection task. An improved Ant-Lion Optimization Algorithm is proposed to decouple the routes of mobile robots and UAVs and plan their routes simultaneously. The effectiveness of the proposed method is demonstrated on a virtual substation experimental platform, revealing improvements in shooting quality, inspection efficiency, and reduced inspection time. © 2023 IEEE.","inspection points; intelligent equipment; path planning; shooting quality; the improved Ant-Lion Optimization Algorithm","Antennas; Efficiency; Electric substations; Intelligent robots; Motion planning; Optimization; Robot programming; Aerial vehicle; Automatic Generation; Generation method; Inspection efficiency; Inspection point; Intelligent equipment; Optimization algorithms; Power equipment; Shooting quality; The improved ant-lion optimization algorithm; Inspection","","Li G.; Li Z.","Institute of Electrical and Electronics Engineers Inc.","","979-835034009-9","","","English","Proc. - Power Syst. Green Energy Conf., PSGEC","Conference paper","Final","","Scopus","2-s2.0-85174260900"
